Semester;Modulcode;Modul;Note;ECTS;Dozent
WS 24/25;Inf-InfRecht;Informatikrecht;2.0;2.0;Dr. Hermann Lindhorst
WS 24/25;Inf-Math-A;Mathematik für die Informatik A;1.0;8.0;Dr. Barbara Langfeld
WS 24/25;infEWInf-01a;Einführung in die Wirtschaftsinformatik;1.7;7.0;Prof. Dr. Ann-Kristin Cordes
WS 24/25;infEInf-01a;Einführung in die Informatik;1.7;8.0;Prof. Dr. Andreas Mühling
WS 24/25;EBWL;Einführung in die Betriebswirtschaftslehre;1.0;5.0;Prof. Dr. Achim Walter
SS 25;Inf-Math-B;Mathematik für die Informatik B;1.0;8.0;Dr. Barbara Langfeld
SS 25;infGPS-01a;Grundlagen des Process Science;1.3;6.0;Prof. Dr. Ann-Kristin Cordes
SS 25;infProgOO-01a;Objektorientierte Programmierung;2.0;6.0;Prof. Dr. Thomas Slawig
SS 25;WInf-eBeM;E-Business und E-Marketing;2.0;6.0;Prof. Dr. Andreas Speck
SS 25;infEAlg-01a;Einführung in die Algorithmik;2.0;7.0;Priv.-Doz. Dr. Frank Huch
SS 25;infIM-01a;Informationsmanagement;2.3;6.0;Dr. Mitja Kulczynski
